cohort,model,endpoint,panel,p0,n_params,max_rhat,frac_rhat_gt_1.01,max_rhat_scalar,min_ess_scalar,max_rhat_beta,min_ess_beta,min_ess_bulk,min_ess_tail,n_div,div_pct,min_bfmi,treedepth_sat_pct,scalar_ok,flag
BLCA,a,OS,hallmark,10,11545,1.0832,0.0032,1.0061,320.0232,1.0783,37.4744,37.4744,53.0042,3,0.075,0.8384,0.0,False,FAIL
BLCA,a,PFI,hallmark,10,11545,1.095,0.0023,1.0121,268.3338,1.0922,32.3765,31.4792,40.022,0,0.0,0.8215,0.0,False,FAIL
BLCA,b,OS,hallmark,10,11616,1.1445,0.0016,1.0104,188.3877,1.1445,19.4236,19.4236,42.1439,2,0.05,0.8132,0.0,False,FAIL
BLCA,b,PFI,hallmark,10,11616,1.3052,0.0029,1.0391,96.1142,1.2905,11.0207,10.5413,17.0291,0,0.0,0.8091,0.0,False,FAIL
BRCA,a,OS,hallmark+combat,10,11485,1.0693,0.0027,1.037,122.6466,1.0693,52.5861,52.5861,63.7309,4,0.05,0.7809,0.0,False,FAIL
BRCA,a,OS,hallmark+dropsing,10,11485,1.2115,0.0039,1.0346,98.138,1.2115,14.04,14.04,27.1253,8,0.2,0.8064,0.0,False,FAIL
BRCA,a,OS,hallmark,10,11485,1.1012,0.0021,1.0136,249.2657,1.1012,26.7421,26.7421,88.2894,1,0.0125,0.777,0.0,False,FAIL
BRCA,a,PFI,hallmark+combat,10,11485,1.0985,0.0011,1.0122,402.8217,1.0985,31.0397,30.2099,65.0724,1,0.0125,0.815,0.0,False,FAIL
BRCA,a,PFI,hallmark+dropsing,10,11485,1.1544,0.0051,1.0405,77.1565,1.1544,19.7819,17.5066,16.1878,8,0.2,0.765,0.0,False,FAIL
BRCA,a,PFI,hallmark,10,11485,1.0798,0.0016,1.027,198.0449,1.0798,35.5599,33.7279,40.0629,1,0.0125,0.8021,0.0,False,FAIL
BRCA,b,OS,hallmark+combat,10,11548,1.4255,0.0693,1.0887,33.0773,1.4255,8.1921,8.1921,19.5288,2,0.025,0.8341,0.0,False,FAIL
BRCA,b,OS,hallmark+dropsing,10,11548,1.1256,0.003,1.0368,80.1444,1.1256,21.2564,20.4648,47.309,11,0.275,0.8009,0.0,False,FAIL
BRCA,b,OS,hallmark,10,11566,1.1407,0.0021,1.0148,321.5058,1.1407,20.3736,20.3736,41.129,2,0.025,0.8124,0.0,False,FAIL
BRCA,b,PFI,hallmark+combat,10,11548,1.0945,0.0011,1.0037,521.9134,1.0942,30.4019,30.4019,94.2335,0,0.0,0.7887,0.0,True,FAIL
BRCA,b,PFI,hallmark+dropsing,10,11548,1.3878,0.003,1.041,193.0638,1.3878,8.7099,8.7099,23.3056,1,0.025,0.7532,0.0,False,FAIL
BRCA,b,PFI,hallmark,10,11566,1.101,0.0016,1.022,242.1962,1.101,42.5144,36.2486,36.3302,2,0.025,0.8329,0.0,False,FAIL
CESC,a,OS,hallmark,10,11455,1.2017,0.0014,1.0208,357.8041,1.1898,16.2241,14.6548,25.4649,2,0.05,0.8821,0.0,False,FAIL
CESC,a,PFI,hallmark,10,11455,1.2731,0.002,1.0281,132.5994,1.2731,11.275,11.275,11.9315,0,0.0,0.8196,0.0,False,FAIL
CESC,b,OS,hallmark,10,11518,1.2884,0.002,1.0077,516.3505,1.2884,10.8395,10.8395,30.7225,1,0.025,0.7888,0.0,True,FAIL
CESC,b,PFI,hallmark,10,11518,1.2468,0.0019,1.0094,485.6692,1.2301,13.4854,12.9925,14.9403,1,0.025,0.8725,0.0,True,FAIL
COAD,a,OS,hallmark,10,11266,1.0162,0.0002,1.0026,662.0686,1.0151,215.0697,215.0697,78.7946,0,0.0,0.8145,0.0,True,FAIL
COAD,a,PFI,hallmark,10,11266,1.0477,0.0013,1.0154,208.5456,1.0477,91.3403,81.5046,29.1537,1,0.025,0.861,0.0,False,FAIL
COAD,b,OS,hallmark,10,11317,1.0195,0.0004,1.0121,406.5858,1.0195,159.3079,159.3079,110.7829,0,0.0,0.7919,0.0,False,FAIL
COAD,b,PFI,hallmark,10,11317,1.0363,0.0014,1.0115,385.9918,1.0363,98.4408,98.4408,58.8852,6,0.15,0.8267,0.0,False,FAIL
