cohort,endpoint,panel,p0,n_obs,elpd_A,se_A,p_loo_A,elpd_B,se_B,p_loo_B,elpd_diff_B_minus_A,dse,winner,weight_A,weight_B,pareto_k_bad_A,pareto_k_bad_pct_A,pareto_k_bad_B,pareto_k_bad_pct_B,max_k_A,max_k_B,loo_reliable
BLCA,OS,hallmark,10,404,-1491.53,73.26,56.43,-1487.86,73.08,56.3,3.66,3.8,B,0.243,0.757,7,1.7,5,1.2,0.886,0.841,True
BRCA,OS,hallmark,10,1080,-1494.55,102.52,61.5,-1482.07,102.33,64.54,12.47,5.11,B,0.014,0.986,6,0.6,9,0.8,0.907,0.961,True
CESC,OS,hallmark,10,291,-651.67,60.39,31.75,-653.19,60.47,39.32,-1.52,2.73,A,0.7,0.3,5,1.7,7,2.4,0.808,0.837,True
COAD,OS,hallmark,10,439,-912.08,72.02,14.33,-909.11,72.01,28.05,2.97,3.12,B,0.19,0.81,0,0.0,2,0.5,0.633,0.756,True
ESCA,OS,hallmark,10,184,-629.41,47.84,13.49,-623.03,47.99,21.17,6.39,3.92,B,0.09,0.91,3,1.6,4,2.2,0.751,0.911,True
GBM,OS,hallmark,10,155,-882.39,34.42,17.45,-883.81,34.5,18.72,-1.42,0.52,A,1.0,0.0,3,1.9,8,5.2,0.804,0.884,False
HNSC,OS,hallmark,10,519,-1897.35,85.35,43.82,-1896.79,85.78,47.4,0.56,3.38,B,0.443,0.557,2,0.4,2,0.4,0.783,0.743,True
KIRC,OS,hallmark,10,531,-1589.24,88.45,41.69,-1571.45,88.47,43.88,17.79,5.34,B,0.0,1.0,8,1.5,8,1.5,0.924,0.921,True
LGG,OS,hallmark,10,511,-1079.91,78.51,56.35,-1083.55,79.0,55.34,-3.64,2.61,A,1.0,0.0,18,3.5,14,2.7,1.262,1.14,True
LIHC,OS,hallmark,10,365,-1120.85,69.47,34.49,-1109.74,69.47,31.21,11.11,5.56,B,0.132,0.868,3,0.8,0,0.0,0.835,0.687,True
LUAD,OS,hallmark,10,503,-1595.25,83.64,39.8,-1591.43,83.97,48.39,3.82,3.16,B,0.114,0.886,4,0.8,5,1.0,0.792,0.864,True
