cohort,endpoint,ICCsite_hallmark,ICCgen_hallmark,hitsA_hallmark,hitsB_hallmark,ICCsite_tv500,ICCgen_tv500,hitsA_tv500,hitsB_tv500,ICCsite_tv2000,ICCgen_tv2000,hitsA_tv2000,hitsB_tv2000
BLCA,OS,0.0943,0.2174,0,0,,,,,,,,
BRCA,OS,0.1233,0.2214,0,0,,,,,,,,
CESC,OS,0.1309,0.3419,0,0,,,,,,,,
COAD,OS,0.1357,0.1509,0,0,,,,,,,,
ESCA,OS,0.2058,0.0894,0,0,,,,,,,,
GBM,OS,0.0208,0.1258,0,0,,,,,,,,
HNSC,OS,0.0781,0.1427,0,0,,,,,,,,
KIRC,OS,0.1786,0.257,0,0,,,,,,,,
LGG,OS,0.055,0.511,0,0,,,,,,,,
LIHC,OS,0.2004,0.1058,0,0,,,,,,,,
LUAD,OS,0.0772,0.1871,0,0,,,,,,,,
LUSC,OS,0.099,0.0164,0,0,,,,,,,,
MESO,OS,0.2739,0.4082,0,0,,,,,,,,
OV,OS,0.1707,0.0243,0,0,,,,,,,,
PAAD,OS,0.1645,0.2976,0,0,,,,,,,,
SARC,OS,0.0422,0.4148,0,0,,,,,,,,
STAD,OS,0.1481,0.0916,0,0,,,,,,,,
UCEC,OS,0.1123,0.2058,1,1,,,,,,,,
BLCA,PFI,0.0409,0.2529,0,0,,,,,,,,
BRCA,PFI,0.013,0.1982,0,0,,,,,,,,
CESC,PFI,0.2069,0.2961,0,0,,,,,,,,
COAD,PFI,0.0956,0.1237,0,0,,,,,,,,
ESCA,PFI,0.2973,0.0471,0,0,,,,,,,,
GBM,PFI,0.0444,0.2324,1,1,,,,,,,,
HNSC,PFI,0.0552,0.1111,0,0,,,,,,,,
KIRC,PFI,0.0916,0.3813,0,1,,,,,,,,
KIRP,PFI,0.0339,0.5131,0,0,,,,,,,,
LGG,PFI,0.0973,0.3174,0,0,,,,,,,,
LIHC,PFI,0.0838,0.15,0,0,,,,,,,,
LUAD,PFI,0.0173,0.0999,0,0,,,,,,,,
LUSC,PFI,0.0468,0.1096,0,0,,,,,,,,
MESO,PFI,0.1565,0.3037,0,0,,,,,,,,
OV,PFI,0.065,0.1422,0,0,,,,,,,,
PAAD,PFI,0.0737,0.5127,1,1,,,,,,,,
PRAD,PFI,0.0618,0.2684,0,0,,,,,,,,
SARC,PFI,0.1012,0.4002,1,0,,,,,,,,
STAD,PFI,0.1632,0.1477,0,0,,,,,,,,
THCA,PFI,0.2635,0.0924,0,0,,,,,,,,
UCEC,PFI,0.02,0.251,0,0,,,,,,,,
