cohort,endpoint,panel,p0,status,n_patients,n_events,n_sites,n_genes,div_A,div_B,hits_A,hits_B,sigma_site_mean,ICC_site_mean,ICC_site_lo,ICC_site_hi,ICC_genomic_mean,ICC_genomic_lo,ICC_genomic_hi,ICC_residual_mean,ICC_residual_lo,ICC_residual_hi,minutes,cindex_A,cindex_B,cindex_gap,cv_scheme
ACC,PFI,-,10,skip_low_events(41),,,,,,,,,,,,,,,,,,,,,,,
ACC,OS,-,10,skip_low_events(28),,,,,,,,,,,,,,,,,,,,,,,
BLCA,OS,hallmark,10,ok,404.0,177.0,35.0,3847.0,3.0,2.0,0.0,0.0,0.426627470911825,0.0943060626205742,0.0203049496329187,0.1977930136397262,0.2173500779438719,0.1134441788691537,0.3317585088369965,0.6883438594355538,0.5731130756434635,0.7986846826495105,47.8,0.627487077816328,0.6128773395643041,-0.0146097382520238,preserved5
BLCA,PFI,hallmark,10,ok,405.0,173.0,35.0,3847.0,0.0,0.0,0.0,0.0,0.2793695951979963,0.0416642590792872,0.0008320635992268,0.1172099324230561,0.2573083998139268,0.1517474523262333,0.3707868361637352,0.701027341106786,0.5845266507123275,0.811667019180074,42.6,0.5936899992888804,0.5939507431199185,0.000260743831038,preserved5
BRCA,OS,hallmark,10,ok,1080.0,151.0,40.0,3827.0,1.0,2.0,0.0,0.0,0.3252860400718027,0.1185867785474136,0.0427407748431848,0.2357131009528489,0.2424384894159369,0.1051068472118987,0.4011399106594215,0.6389747320366493,0.4818323514863322,0.784605212908088,135.8,0.5989655704801605,0.6004940558900725,0.001528485409912,preserved5
BRCA,PFI,hallmark,10,ok,1080.0,145.0,40.0,3827.0,1.0,2.0,0.0,0.0,0.1086689193743642,0.0129220162798579,5.986767426219974e-05,0.0485850598315816,0.2051883885856535,0.0802086742136306,0.3454694820466757,0.7818895951344884,0.6402711704630429,0.908930618013466,136.5,0.6301821509608996,0.6157028419561483,-0.0144793090047512,preserved5
BRCA,OS,hallmark+combat,10,ok,1071.0,150.0,31.0,3827.0,4.0,2.0,0.0,0.0,0.3371416591655784,0.129323359261353,0.0472478322559076,0.2521129096953045,0.2184090872196167,0.078817023068078,0.3803366259118292,0.6522675535190301,0.4975510751219718,0.8064451877502447,95.7,,,,
BRCA,PFI,hallmark+combat,10,ok,1071.0,143.0,31.0,3827.0,1.0,0.0,0.0,0.0,0.123708032383431,0.0159781930038141,8.769519205379192e-05,0.0567076176403912,0.196330250740023,0.0749435398327766,0.3327998573953619,0.7876915562561628,0.6495297053144741,0.9116445385681669,68.9,,,,
BRCA,PFI,hallmark+dropsing,10,ok,1071.0,143.0,31.0,3827.0,8.0,1.0,0.0,0.0,0.1078748271369479,0.0126727662899794,5.858438191466899e-05,0.0476497455565103,0.2239608040283435,0.108619156679029,0.3546606028406089,0.763366429681677,0.6308014556084204,0.8792486489092362,21.1,,,,
BRCA,OS,hallmark+dropsing,10,ok,1071.0,150.0,31.0,3827.0,8.0,11.0,0.0,0.0,0.324691508618735,0.1196582494147273,0.0424535515481025,0.238153314211551,0.2556167624217211,0.1122678780648239,0.4167133884346767,0.6247249881635516,0.4688939617928391,0.7761834003112422,24.9,,,,
CESC,PFI,hallmark,10,ok,291.0,71.0,31.0,3817.0,0.0,1.0,0.0,0.0,0.8534103052824535,0.206912242980282,0.0568842465203159,0.3987030591377839,0.2960534621585365,0.1480359781502415,0.4553325917898937,0.4970342948611814,0.3285075060801933,0.6711690853570826,41.7,0.6601218686526743,0.6627548333709471,0.0026329647182727,preserved5
CESC,OS,hallmark,10,ok,291.0,71.0,31.0,3817.0,2.0,1.0,0.0,0.0,0.5319883238748409,0.1308982686852706,0.0096716274181543,0.3113186685501636,0.3418513367964615,0.1795063621920598,0.5049014075099172,0.5272503945182679,0.3572017043992763,0.7081280963967489,38.6,0.639335380169767,0.6472819216182049,0.0079465414484378,preserved5
CHOL,PFI,-,10,skip_low_events(20),,,,,,,,,,,,,,,,,,,,,,,
CHOL,OS,-,10,skip_low_events(18),,,,,,,,,,,,,,,,,,,,,,,
COAD,PFI,hallmark,10,ok,438.0,117.0,25.0,3754.0,1.0,6.0,0.0,0.0,0.4484394563089368,0.0956496541414609,0.0036024447263561,0.2596634071320129,0.1237235540616353,0.0140514335713404,0.2585672838214545,0.7806267917969038,0.6015232405557218,0.9375383346100998,43.9,0.5500745564651106,0.5526307781260461,0.0025562216609354,preserved5
COAD,OS,hallmark,10,ok,439.0,98.0,25.0,3754.0,0.0,0.0,0.0,0.0,0.5382436647634007,0.1334393356241856,0.0183809147920699,0.2927987825320952,0.1064334147242016,0.0027988007873004,0.2680596682059739,0.7601272496516126,0.5509114555143327,0.94135875445037,21.2,0.5674393279402613,0.5646779713752333,-0.0027613565650279,preserved5
DLBC,PFI,-,10,skip_low_events(12),,,,,,,,,,,,,,,,,,,,,,,
DLBC,OS,-,10,skip_low_events(9),,,,,,,,,,,,,,,,,,,,,,,
ESCA,PFI,hallmark,10,ok,184.0,87.0,19.0,3901.0,4.0,4.0,0.0,0.0,0.7564172440370656,0.2972960976844464,0.1327808428267868,0.5023371431896174,0.0470855971933315,0.0003753284988078,0.1448051125252777,0.6556183051222221,0.4511586452643442,0.8335574433564682,15.7,0.4639680729760547,0.4882554161915621,0.0242873432155074,preserved5
ESCA,OS,hallmark,10,ok,184.0,77.0,19.0,3901.0,1.0,4.0,0.0,0.0,0.5818325261637063,0.2057631216542385,0.0602336293910929,0.4025193277709964,0.0893649951184254,0.0011946242356661,0.2550239593591008,0.7048718832273362,0.4705472782169275,0.9001780784362762,16.5,0.4807666886979511,0.489358889623265,0.0085922009253139,preserved5
ESCA,PFI,hallmark+combat,10,ok,179.0,86.0,14.0,3901.0,0.0,1.0,0.0,0.0,0.747126726305346,0.2933809551043072,0.129714174103402,0.49773903969195,0.0390988537132559,0.0002697137818798,0.1244087645092872,0.6675201911824369,0.458996396406483,0.8424390452589591,10.2,,,,
ESCA,OS,hallmark+combat,10,ok,179.0,75.0,14.0,3901.0,1.0,1.0,0.0,0.0,0.6056056115607659,0.2174510388134166,0.0680094384919388,0.4271040182319979,0.1012843151878965,0.003574938542024,0.2484168365979766,0.6812646459986867,0.4609324317048757,0.8789625101027067,10.7,,,,
ESCA,PFI,hallmark+dropsing,10,ok,179.0,86.0,14.0,3901.0,2.0,4.0,0.0,0.0,0.7511116530977623,0.2940207816468432,0.1250850817885489,0.5043224151794865,0.0447497658760449,0.0003926174666257,0.1308632969081933,0.6612294524771117,0.4489082714895173,0.8430031338378644,7.3,,,,
ESCA,OS,hallmark+dropsing,10,ok,179.0,75.0,14.0,3901.0,9.0,3.0,0.0,0.0,0.6073764526879741,0.2168579106895378,0.0631670255948481,0.4220122420112572,0.0888800933607409,0.0007367636371275,0.2454222279927017,0.6942619959497213,0.4513242208999161,0.8979375139458157,7.0,,,,
GBM,PFI,hallmark,10,ok,155.0,121.0,14.0,3761.0,4.0,8.0,1.0,1.0,0.2093319325435453,0.0443921184494313,0.0004012053899178,0.1454101130568763,0.232388449916166,0.1156665365245478,0.3725700649992936,0.7232194316344027,0.5757499101500775,0.8487287103152461,14.5,0.6249346302688004,0.6177178119443573,-0.007216818324443,preserved5
GBM,OS,hallmark,10,ok,155.0,122.0,14.0,3761.0,0.0,1.0,0.0,0.0,0.1153341375502586,0.0189267211762807,7.301982502980077e-05,0.0726226619283565,0.1211510686763162,0.0072483163643016,0.2532122373017059,0.859922210147403,0.7194399437888671,0.9804722798313128,14.5,0.5701129262142309,0.5908343383400942,0.0207214121258633,preserved5
HNSC,PFI,hallmark,10,ok,519.0,197.0,28.0,3838.0,1.0,1.0,0.0,0.0,0.3430217395874416,0.0552003619619057,0.0020953649452092,0.1437697877603271,0.1111247657059654,0.0355006134160108,0.1939598371212595,0.8336748723321289,0.7282983697951961,0.9264020754962649,49.1,0.561048260921892,0.5712630882175954,0.0102148272957034,preserved5
HNSC,OS,hallmark,10,ok,519.0,220.0,28.0,3838.0,6.0,5.0,0.0,0.0,0.3905082178980369,0.0781331127666516,0.0103750035063733,0.1876425021356912,0.1427408595780674,0.055674113963124,0.2465286535275434,0.779126027655281,0.6526450596992557,0.888485232863585,53.3,0.5552408339324227,0.5508123652048885,-0.0044284687275342,preserved5
KICH,PFI,-,10,skip_low_events(11),,,,,,,,,,,,,,,,,,,,,,,
KICH,OS,-,10,skip_low_events(9),,,,,,,,,,,,,,,,,,,,,,,
KIRC,PFI,hallmark,10,ok,529.0,159.0,20.0,3798.0,3.0,6.0,0.0,1.0,0.6034280332345612,0.0916421154607819,0.0219916828334313,0.2045360361370339,0.381299056853637,0.2725177907914894,0.4925516857395614,0.527058827685581,0.4177035012696769,0.6432054532159286,65.5,0.7071030539875525,0.7022543059777102,-0.0048487480098422,preserved5
KIRC,OS,hallmark,10,ok,531.0,175.0,20.0,3798.0,5.0,7.0,0.0,0.0,0.652968865849828,0.1785577846410282,0.0589753890671109,0.3528022307373331,0.2570192188397298,0.1773104409296171,0.3413492340052845,0.5644229965192419,0.4213825165597907,0.6849532450695539,59.4,0.6765191139818163,0.6646189489942781,-0.0119001649875382,preserved5
KIRC,PFI,hallmark+combat,10,ok,524.0,159.0,15.0,3798.0,0.0,2.0,0.0,0.0,0.7026194377217383,0.1237173887103288,0.0438547956040788,0.2497745985621497,0.3291687180670603,0.2202586182701504,0.4395110205182133,0.5471138932226108,0.4269421887689709,0.6680262240162653,230.7,,,,
KIRC,OS,hallmark+combat,10,ok,526.0,175.0,15.0,3798.0,4.0,3.0,0.0,0.0,0.6903744126792438,0.194156056414868,0.0735496981457928,0.3623906584102819,0.2507495773925582,0.1674266361981741,0.3412464346394588,0.5550943661925737,0.4217147268629793,0.6748269560645888,22.2,,,,
KIRC,PFI,hallmark+dropsing,10,ok,524.0,159.0,15.0,3798.0,1.0,0.0,0.0,1.0,0.6066834248614851,0.0939767120502341,0.0226858654890842,0.2137695028664916,0.3727507387350054,0.2598830028045382,0.4883454210330921,0.5332725492147604,0.421101568465592,0.6427903991085193,24.5,,,,
KIRC,OS,hallmark+dropsing,10,ok,526.0,175.0,15.0,3798.0,8.0,8.0,0.0,0.0,0.6921370407101239,0.1942283477939414,0.068241137640999,0.3738209987794049,0.2575138525414233,0.1742584804410524,0.3452783171474187,0.5482577996646353,0.4077180023819356,0.6656579874732166,26.2,,,,
KIRP,PFI,hallmark,10,ok,285.0,56.0,33.0,3753.0,7.0,2.0,0.0,0.0,0.2700003010755908,0.0339047896712904,0.0002019388714767,0.1177793008242499,0.5131059668068965,0.3507575665585635,0.6726516716235141,0.452989243521813,0.3034446116664339,0.6076726262035063,44.9,0.773283251468747,0.8007319657131851,0.027448714244438,preserved5
KIRP,OS,-,10,skip_low_events(44),,,,,,,,,,,,,,,,,,,,,,,
LAML,PFI,-,10,skip_low_events(0),,,,,,,,,,,,,,,,,,,,,,,
LAML,OS,-,10,skip_low_events(0),,,,,,,,,,,,,,,,,,,,,,,
LGG,PFI,hallmark,10,ok,511.0,192.0,26.0,3674.0,9.0,7.0,0.0,0.0,0.3844959139824926,0.0973357858158065,0.0328816398121162,0.1908424140401461,0.3174208563747769,0.234037436641011,0.4026284522679856,0.5852433578094165,0.49762587895929,0.6671223922479057,68.9,0.7186558427850385,0.7223213771662157,0.0036655343811772,preserved5
LGG,OS,hallmark,10,ok,511.0,125.0,26.0,3674.0,3.0,1.0,0.0,0.0,0.2330503897838852,0.0524689892335868,0.0044299625957672,0.1362024180708463,0.505864676466732,0.3823548152239067,0.621334154235015,0.4416663342996811,0.3351065049963027,0.5520543148795221,101.5,0.8185272818527282,0.8296766329676633,0.011149351114935,preserved5
LIHC,PFI,hallmark,10,ok,366.0,180.0,37.0,3809.0,2.0,7.0,0.0,0.0,0.3822768854230839,0.0838290217646419,0.0129741519583381,0.1929618841866622,0.1500481105064738,0.0568086046694314,0.2584864277894658,0.7661228677288844,0.6521240700146972,0.8670742875175783,44.2,0.6064308506286307,0.6053126789756457,-0.001118171652985,preserved5
LIHC,OS,hallmark,10,ok,365.0,130.0,37.0,3809.0,2.0,1.0,0.0,0.0,0.6440162611299136,0.2004214905946305,0.0816362977394762,0.357721007763095,0.1058408476859349,0.0104386463256896,0.2284930235834247,0.6937376617194345,0.5419264442142152,0.8264328801086015,49.4,0.6297560267208829,0.6350929422015684,0.0053369154806854,preserved5
LUAD,PFI,hallmark,10,ok,503.0,206.0,33.0,3877.0,4.0,4.0,0.0,0.0,0.1425183034257703,0.0172794237590728,0.0001340544455594,0.0601965690456107,0.0998806546398337,0.024918820025129,0.1935670720482516,0.8828399216010934,0.7847453452586081,0.96553218172673,52.4,0.5467786735316036,0.5457794187385678,-0.0009992547930357,preserved5
LUAD,OS,hallmark,10,ok,503.0,182.0,33.0,3877.0,4.0,3.0,0.0,0.0,0.3421504166652187,0.0772259516564238,0.0090720795421529,0.1765840765374735,0.1871485603620159,0.1066520403450895,0.2751344959989381,0.7356254879815602,0.6215497190434848,0.8415717551865999,56.2,0.609100542038554,0.6210620695276521,0.011961527489098,preserved5
LUSC,PFI,hallmark,10,ok,495.0,146.0,33.0,3867.0,2.0,2.0,0.0,0.0,0.2749099250357522,0.0468490239986833,0.0015022791695747,0.1269985256067237,0.1096186166944818,0.0226735207300302,0.2065415736123115,0.8435323593068349,0.7312304347858211,0.9430327937374768,49.0,0.5644656090045583,0.5714940538338129,0.0070284448292545,preserved5
LUSC,OS,hallmark,10,ok,494.0,212.0,33.0,3867.0,2.0,4.0,0.0,0.0,0.4575153686409862,0.098996389010868,0.031480958129467,0.1943488300846719,0.0164149922493588,0.0001013406745114,0.0502810490810354,0.8845886187397731,0.7889045688465044,0.957515118992143,46.8,0.5349188843034012,0.5333179166073716,-0.0016009676960295,preserved5
LUSC,PFI,hallmark+combat,10,ok,492.0,145.0,30.0,3867.0,2.0,3.0,0.0,0.0,0.3003411931748893,0.0552978541888089,0.0024916588371371,0.144738923790797,0.0662756092519016,0.002786688751593,0.1573150913877143,0.8784265365592894,0.7596876816069073,0.9729688271828698,15.1,,,,
LUSC,OS,hallmark+combat,10,ok,491.0,210.0,30.0,3867.0,1.0,2.0,0.0,0.0,0.4552931595252917,0.0999544789719718,0.0340273190442491,0.1956174470863112,0.0153891376672402,9.457057802729385e-05,0.0472647236631304,0.8846563833607879,0.7870775311143151,0.9552601197884866,15.7,,,,
